month,venue,reservation_count
2024-01,OTHERS,1
2024-01,PAT,1
2024-01,QUADRANGLE,0
2024-01,QUANDRANGLE,0
2024-01,TV ROOM,0
2024-02,OTHERS,0
2024-02,PAT,0
2024-02,QUADRANGLE,0
2024-02,QUANDRANGLE,0
2024-02,TV ROOM,0
2024-03,OTHERS,2
2024-03,PAT,3
2024-03,QUADRANGLE,0
2024-03,QUANDRANGLE,0
2024-03,TV ROOM,0
2024-04,OTHERS,5
2024-04,PAT,9
2024-04,QUADRANGLE,0
2024-04,QUANDRANGLE,0
2024-04,TV ROOM,0
2024-05,OTHERS,5
2024-05,PAT,4
2024-05,QUADRANGLE,0
2024-05,QUANDRANGLE,0
2024-05,TV ROOM,0
2024-06,OTHERS,2
2024-06,PAT,1
2024-06,QUADRANGLE,0
2024-06,QUANDRANGLE,0
2024-06,TV ROOM,0
2024-07,OTHERS,2
2024-07,PAT,5
2024-07,QUADRANGLE,1
2024-07,QUANDRANGLE,0
2024-07,TV ROOM,0
2024-08,OTHERS,11
2024-08,PAT,11
2024-08,QUADRANGLE,0
2024-08,QUANDRANGLE,0
2024-08,TV ROOM,0
2024-09,OTHERS,14
2024-09,PAT,6
2024-09,QUADRANGLE,0
2024-09,QUANDRANGLE,0
2024-09,TV ROOM,0
2024-10,OTHERS,9
2024-10,PAT,8
2024-10,QUADRANGLE,0
2024-10,QUANDRANGLE,0
2024-10,TV ROOM,0
2024-11,OTHERS,7
2024-11,PAT,3
2024-11,QUADRANGLE,0
2024-11,QUANDRANGLE,0
2024-11,TV ROOM,0
2024-12,OTHERS,8
2024-12,PAT,2
2024-12,QUADRANGLE,0
2024-12,QUANDRANGLE,0
2024-12,TV ROOM,0
2025-01,OTHERS,3
2025-01,PAT,1
2025-01,QUADRANGLE,0
2025-01,QUANDRANGLE,0
2025-01,TV ROOM,0
2025-02,OTHERS,7
2025-02,PAT,11
2025-02,QUADRANGLE,0
2025-02,QUANDRANGLE,0
2025-02,TV ROOM,0
2025-03,OTHERS,13
2025-03,PAT,9
2025-03,QUADRANGLE,0
2025-03,QUANDRANGLE,2
2025-03,TV ROOM,0
2025-04,OTHERS,9
2025-04,PAT,7
2025-04,QUADRANGLE,0
2025-04,QUANDRANGLE,0
2025-04,TV ROOM,0
2025-05,OTHERS,6
2025-05,PAT,2
2025-05,QUADRANGLE,0
2025-05,QUANDRANGLE,0
2025-05,TV ROOM,0
2025-06,OTHERS,1
2025-06,PAT,5
2025-06,QUADRANGLE,0
2025-06,QUANDRANGLE,0
2025-06,TV ROOM,0
2025-07,OTHERS,1
2025-07,PAT,8
2025-07,QUADRANGLE,0
2025-07,QUANDRANGLE,0
2025-07,TV ROOM,0
2025-08,OTHERS,7
2025-08,PAT,1
2025-08,QUADRANGLE,0
2025-08,QUANDRANGLE,0
2025-08,TV ROOM,0
2025-09,OTHERS,9
2025-09,PAT,9
2025-09,QUADRANGLE,0
2025-09,QUANDRANGLE,1
2025-09,TV ROOM,2
2025-10,OTHERS,3
2025-10,PAT,0
2025-10,QUADRANGLE,0
2025-10,QUANDRANGLE,0
2025-10,TV ROOM,0
